eliminado,fecha_creacion,id,tipo_impuesto_id,nombre,codigo
true,2025-03-11T22:43:51.311,1,1,Aceta,001
true,2025-03-12T07:56:02.401,2,1,Electrolit,002
false,2025-03-12T10:04:39.857,3,2,Mareol ,7 702132 004484
true,2025-03-12T11:17:23.875,4,2,Acetaminufen,7706569020659
false,2025-03-12T12:48:13.281,5,2,Azitromicina 500 MG X  3 tabletas - AG,7706569001245
false,2025-03-12T13:08:39.931,6,2,Acetaminofen- ag- caja por 100 tabletas,7 706569020659
false,2025-03-12T13:56:53.305,7,1,Talco mexsana - x 85g,2204
false,2025-03-12T14:01:41.685,8,1,Talco lady mexsana  -x 85g,7702123012870
false,2025-03-12T14:05:11.190,9,1,Talco powder fresh women  x 85g,7709990468151
false,2025-03-12T14:09:44.139,10,1,Talco secco x 85g- bayer,7702123012924
false,2025-03-12T14:13:06.836,11,1,Talco rexona efficient x 55g - unilever,7702006301442
false,2025-03-12T14:14:59.224,12,1,Talco yodora x 60g - tq,7702057081027
false,2025-03-12T14:16:40.871,13,1,Talco yodora x 90g -tq,7702057085339
false,2025-03-12T14:19:08.306,14,1,Talco  yodora  x 300g - tq,7702057080594
false,2025-03-12T14:22:17.611,15,1,Talco  mexsana x 150g - bayer,7702123013891
false,2025-03-12T14:24:03.963,16,1,Talco  neo fungina x 40g - neo,7706142707106
false,2025-03-12T14:26:28.053,17,1,Crema yodora  x 60g- tq,1824
false,2025-03-12T14:27:53.009,18,1,Crema yodora  x  32 g -tq,2024
false,2025-03-12T14:30:12.808,19,1,Crema yodora  x  25 g- tq,7702057080075
false,2025-03-12T14:31:32.253,20,1,Crema yodora x  12 g - tq,7702057080044
false,2025-03-12T14:33:36.864,21,1,Copitos x  20 unid - medicare,7703252035341
false,2025-03-12T14:35:54.130,22,1,Aceite suave osito x  50 ml - osa,7705137300315
false,2025-03-12T14:38:26.489,23,2,Alcohol  x 700 ml - osa,7705137100113
false,2025-03-12T14:47:39.350,24,2,Noxpirin noche sobre x  10 g -siefred,7707355054346
false,2025-03-12T14:52:16.960,25,1,Pegante instantaneo super glue - x 8 g,6987247805312
false,2025-03-12T14:57:46.365,26,1,Prestobarba schick*4 hojas hombre,4891228530136
false,2025-03-12T15:00:10.085,27,2,Ibuflash migran* mk,7702057092344
false,2025-03-12T15:03:22.040,28,2,Noraver gripa*noche*sobre*tq,7702057160975
false,2025-03-12T15:05:09.001,29,1,Pañal winny*etapa 0*30 uds* tq,7701021144829
false,2025-03-12T15:06:58.009,30,1,Pañal*winny*etapa*5 * 16 uds* tq,7701021118356
false,2025-03-12T15:09:53.344,31,2,Toallas kotex  disrcreta  x 10 unid ,7702425801288
false,2025-03-12T15:12:13.726,32,1,Dove acondicionador 18 ml - unileve,7702006302449
false,2025-03-12T15:14:18.098,33,1,Dove desodrante 8.5 g - unilever,7702006204408
false,2025-03-12T15:16:16.547,34,1,Dove  shampoo + keratina 18 g - unilever,7702006653077
false,2025-03-12T15:17:57.684,35,1,Rexona clinical men 30 g - unilever,7702006206808
false,2025-03-12T15:20:29.372,36,1,Rexona clinical men cojin -8.5 g - unilever,7702006205542
false,2025-03-12T15:23:32.131,37,1,Shampoo nutribela  celulas madre 18 g - genoma,7702354956318
false,2025-03-12T15:26:22.824,38,1,Acond nutribela 15 ml- genoma,7702354956356
false,2025-03-12T15:27:52.742,39,1,Tratamiento nutribela 15 g - genoma,7702354957247
false,2025-03-12T15:29:59.011,40,1,Tratamiento nutricion  27 g - genoma,7702354942212
false,2025-03-12T15:33:38.090,41,2,Piroxicam 20 mg - x 20 cap- coaspharma,7703712030930
false,2025-03-12T15:36:06.825,42,2,Mega sex caja x 2 unid- conalphar,1984
false,2025-03-12T15:39:22.194,43,1,Color 1- liquido 15 ml - interbel ,7707223660020
false,2025-03-12T15:50:38.213,44,2,Hioscina caja 10 g- x 50 tabletas - laproff,7703038067450
false,2025-03-12T15:53:54.376,45,1,Sobre color 1- castaño oscuro 15 ml- interbel,7707223663342
false,2025-03-12T15:56:23.705,46,1,Vitafer jarabe x 500 ml -naturalme,7707816989873
false,2025-03-12T16:01:46.624,47,2,Ainedix 100 mg - x 10 tabletas - laboquifar,7707019469059
false,2025-03-12T16:05:02.755,48,2,Albendazol caja 200 mg x 2 tabletas - coaspharma,7703712033405
false,2025-03-12T16:16:52.382,49,2,Acetaminofen+ codeina-325/30 x 30 tabletas- ag,7706569022912
false,2025-03-12T16:22:30.482,50,2,Albendazol caja 200 mg - x  25 blister - laproff,7703038050056
false,2025-03-12T16:28:04.855,51,2,Albendazol suspension 20 ml -laproff,7703038060994
false,2025-03-12T16:33:22.111,52,2,Acetaminofen 500 mg- x 30 blister- coaspharma,7703712035362
false,2025-03-12T16:37:10.133,53,2,Azitromicina 500 mg x 3 tabletas- coaspharma,7703712030206
false,2025-03-12T16:49:54.581,54,2,Bactrosafe-azitromicina x 3 tabletas 500 mg- msn,7707274723224
false,2025-03-12T16:52:56.975,55,2,Albendaszol caja 2 tabletas 200 mg- bioquifar,7707019340105
